['1004', '1001']; ['1002', '1000']; 1.0; 
['1004', '1002']; ['1001', '1000']; 0.5; 
['1000']; ['1004', '1002', '1001']; 0.2; 
['1001']; ['1004', '1002', '1000']; 0.25; 
['1002']; ['1004', '1001', '1000']; 0.25; 
['1004']; ['1002', '1001', '1000']; 0.5; 
['1001', '1000']; ['1003', '1002']; 0.25; 
['1002', '1000']; ['1003', '1001']; 0.25; 
['1002', '1001']; ['1003', '1000']; 0.33333333333333337; 
['1003', '1000']; ['1002', '1001']; 0.5; 
['1003', '1001']; ['1002', '1000']; 0.5; 
['1003', '1002']; ['1001', '1000']; 1.0; 
['1000']; ['1003', '1002', '1001']; 0.2; 
['1001']; ['1003', '1002', '1000']; 0.25; 
['1002']; ['1003', '1001', '1000']; 0.25; 
['1003']; ['1002', '1001', '1000']; 0.5; 
['1001', '1000']; ['1005', '1003']; 0.25; 
['1003', '1000']; ['1005', '1001']; 0.5; 
['1003', '1001']; ['1005', '1000']; 0.5; 
['1005', '1000']; ['1003', '1001']; 0.5; 
['1005', '1001']; ['1003', '1000']; 0.5; 
['1005', '1003']; ['1001', '1000']; 1.0; 
['1000']; ['1005', '1003', '1001']; 0.2; 
['1001']; ['1005', '1003', '1000']; 0.25; 
['1003']; ['1005', '1001', '1000']; 0.5; 
['1005']; ['1003', '1001', '1000']; 0.5; 
['1001', '1000']; ['1005', '1002']; 0.25; 
['1002', '1000']; ['1005', '1001']; 0.25; 
['1002', '1001']; ['1005', '1000']; 0.33333333333333337; 
['1005', '1000']; ['1002', '1001']; 0.5; 
['1005', '1001']; ['1002', '1000']; 0.5; 
['1005', '1002']; ['1001', '1000']; 1.0; 
['1000']; ['1005', '1002', '1001']; 0.2; 
['1001']; ['1005', '1002', '1000']; 0.25; 
['1002']; ['1005', '1001', '1000']; 0.25; 
['1005']; ['1002', '1001', '1000']; 0.5; 
['1002', '1000']; ['1006', '1004']; 0.25; 
['1004', '1000']; ['1006', '1002']; 0.5; 
['1004', '1002']; ['1006', '1000']; 0.5; 
['1006', '1000']; ['1004', '1002']; 1.0; 
['1006', '1002']; ['1004', '1000']; 1.0; 
['1006', '1004']; ['1002', '1000']; 1.0; 
['1000']; ['1006', '1004', '1002']; 0.2; 
['1002']; ['1006', '1004', '1000']; 0.25; 
['1004']; ['1006', '1002', '1000']; 0.5; 
['1006']; ['1004', '1002', '1000']; 1.0; 
